element_id	page_no	position_in_page	self_ref	text50	label
ea3676b500	1	74	#/texts/72	VectorSearchRetrieverTool	code
f2367170d8	1	75	#/texts/73	is a wrapper around LangChain's	text
947c214e2d	1	76	#/texts/74	BaseTool	code
3adcf8e314	1	77	#/texts/75	class that enables the LLM to query Databricks Vec	text
19d0f2da7c	1	78	#/texts/76	from databricks_langchain import VectorSearchRetri	code
31483fa29b	1	79	#/texts/77		code
3f7573e578	1	80	#/texts/78	index_name = \"workspace.unity_airways.faq_index\"	code
3ef9d2eeb5	1	81	#/texts/79		code
90138597f6	1	82	#/texts/80	endpoint_name = \"vs_endpoint\"	code
e23e9b6ebf	1	83	#/texts/81		code
f0ac468d98	1	84	#/texts/82	vs_tool = VectorSearchRetrieverTool ( index_name =	code
10da1c7152	1	85	#/texts/83		code
78ba9ccf99	1	86	#/texts/84	)	code
5ab32f1c4d	1	87	#/texts/85		code
31ab0f45a3	1	88	#/texts/86	results = vs_tool . invoke ( \"How do I book flight	code
474f1b8aae	1	89	#/texts/87		code
c517294757	1	90	#/texts/88	print ( results )	code
ef54145b49	1	91	#/texts/89	If the invocation is successful, you should be abl	text
1fd0fe6363	1	92	#/texts/90	Building a LangChain Agent and Versioning in MLflo	title
4952d540d6	1	93	#/texts/91	As we discussed in the previous chapters, MLflow i	text
48dd5aed3a	1	94	#/texts/92	Note	section_header
2f3b0e5e82	1	95	#/texts/93	For a more hands-on experience with the code examp	text
7a1cf6c75e	1	96	#/texts/94	LLM-Only Application	section_header
ef37364b27	1	97	#/texts/95	The first step in the process is to establish a ba	text
3152719957	1	98	#/texts/96	import mlflow	code
cb4b9acb34	1	99	#/texts/97		code
60d03f0316	1	100	#/texts/98	mlflow . langchain . autolog ()	code
bcf7bb09e0	1	101	#/texts/99		code
36d1a78bb3	1	102	#/texts/100	# Set the active model context	code
0baa4ec289	1	103	#/texts/101		code
ab7e09a854	1	104	#/texts/102	logged_model_name = \"llm_only\"	code
1f860282cc	1	105	#/texts/103		code
14bc9eed0c	1	106	#/texts/104	active_model_info = mlflow . set_active_model ( na	code
12b691c2a9	1	107	#/texts/105		code
92426b52f0	1	108	#/texts/106	print ( f \"Active LoggedModel: ' { active_model_in	code
c689ea0e41	1	109	#/texts/107		code
d5edb121b4	1	110	#/texts/108	)	code
178b9a32b2	1	111	#/texts/109	When you call	text
b449b15346	1	112	#/texts/110	mlflow.set_active_model(name=logged_model_name)	code
948b09e7e1	1	113	#/texts/111	, it creates a new MLflow	text
b1c5575f67	1	114	#/texts/112	LoggedModel	code
b269cb4b60	1	115	#/texts/113	object called	text
782f9cafa9	1	116	#/texts/114	llm_only	code
c1b8a8fedf	1	117	#/texts/115	. This	text
06aa73635a	1	118	#/texts/116	LoggedModel	code
3a8cafb9f9	1	119	#/texts/117	object represents a specific version of your appli	text
1ccebca53c	1	120	#/texts/118	LoggedModel	code
e881edac47	1	121	#/texts/119	object can be used for logical version tracking. F	text
31535ee4ec	1	122	#/texts/120	llm_only	code
7158b37892	1	123	#/texts/121	, but keep in mind that this is flexible and you c	text
f3b852934d	1	124	#/texts/122	Let's see what happens when we ask the LLM a quest	text
c4b650319c	1	125	#/texts/123	from databricks_langchain import ChatDatabricks	code
34dcc5b28f	1	126	#/texts/124		code
c84c3c209d	1	127	#/texts/125	chat_model = ChatDatabricks ( endpoint = \"databric	code
a28e9edf3f	1	128	#/texts/126		code
97289c3563	1	129	#/texts/127	)	code
d738987cfa	1	130	#/texts/128		code
4122810299	1	131	#/texts/129	query = \"How do I book flights with Unity Airways?	code
06e399a947	1	132	#/texts/130		code
50986d7b02	1	133	#/texts/131	print ( chat_model . invoke ( query ) . content )	code
ad194621a0	1	134	#/texts/132	We see a new version created when we navigate to t	text
48cdd8d162	1	135	#/texts/133	Figure 4-3	text
b238f38134	1	136	#/texts/134	).	text
f352034506	1	137	#/pictures/2	MLflow Experiment UI displaying the \"Agent version	picture
aa05e02106	1	138	#/texts/136	When we navigate to the Traces tab in the MLflow E	text
